date,trades_count,total_volume,avg_size,total_pnl,avg_pnl,profitable_trades,classification
2023-01-05,3,477.0,159.0,0.0,0.0,0,Fear
2023-05-12,9,50005.83,5556.203333333334,0.0,0.0,0,Neutral
2024-01-01,18,264239.52999999997,14679.973888888888,-129.53146,-7.196192222222223,1,Greed
2024-01-02,6,2008.18,334.69666666666666,0.0,0.0,0,Greed
2024-01-03,137,472974.7,3452.370072992701,8244.241409,60.176944591240876,128,Greed
2024-01-04,77,339470.47,4408.7074025974025,2507.963406,32.57095332467532,42,Greed
2024-01-05,14,87025.45,6216.103571428571,0.0,0.0,0,Greed
2024-01-06,25,12834.62,513.3848,91.510419,3.66041676,9,Greed
2024-01-07,64,362670.14999999997,5666.721093749999,5065.839308,79.1537391875,26,Greed
2024-01-08,57,227774.53,3996.044385964912,167.080017,2.9312283684210527,4,Greed
2024-01-09,12,12359.68,1029.9733333333334,137.433093,11.452757750000002,5,Extreme Greed
2024-01-10,4,139954.32,34988.58,0.0,0.0,0,Greed
2024-01-11,23,260981.03,11347.001304347827,1040.475736,45.238075478260875,6,Extreme Greed
2024-01-12,416,814711.82,1958.441875,40886.364494,98.28453003365385,221,Greed
2024-02-01,17,121348.74,7138.1611764705885,783.979116,46.11641858823529,8,Greed
2024-02-02,42,474278.43,11292.343571428572,456.423473,10.867225547619048,13,Greed
2024-02-03,31,63197.56,2038.6309677419354,230.90060000000005,7.448406451612905,21,Greed
2024-02-04,41,239664.50999999998,5845.475853658536,883.760812,21.555141756097562,12,Greed
2024-02-06,93,29464.51,316.822688172043,192.906947,2.074268247311828,34,Greed
2024-02-07,18,33347.47,1852.6372222222224,2421.253116,134.514062,13,Greed
2024-02-08,63,396320.37,6290.799523809524,782.3681909999999,12.418542714285714,17,Greed
2024-02-09,2,30000.42,15000.21,0.0,0.0,0,Greed
2024-02-10,4,99954.34,24988.585,0.0,0.0,0,Greed
2024-02-11,2,40000.0,20000.0,0.0,0.0,0,Greed
